Title,Tags,Answered,Link,With code,matched_keywords,performance issue,factor,description,tag,problems root causes,how to fix,label_1,label_2,final_label
Android Webview - chromium shows ANR when method webView.loadUrl is called (with headers),"android,webview,chromium,android-anr-dialog",True,https://stackoverflow.com/questions/67304874/android-webview-chromium-shows-anr-when-method-webview-loadurl-is-called-with,True, ANR ,No,No,,,,,0,0,0
How to fix memory leak issue in standard bottom sheet behaviour?,"android,bottom-sheet,leakcanary",True,https://stackoverflow.com/questions/67037286/how-to-fix-memory-leak-issue-in-standard-bottom-sheet-behaviour,True,memory leak,Memory Consumption,View,"BottomSheetBehavior holds strong references to the View, which are not cleaned up when the Activity or Fragment is destroyed, resulting in the Activity or Fragment and its view not being garbage-collected, which leads to a memory leak.
Bottom Sheet View",,,"You need to make standardBottomSheetBehavior nullable then in FragmentTripPlanner.onDestroyView(), you need to clear the reference to standardBottomSheetBehavior since it has a reference to standardBottomSheet

",1,1,1
Understanding memory leaks in Android application,"java,android,android-layout,memory-leaks,android-view",True,https://stackoverflow.com/questions/26244593/understanding-memory-leaks-in-android-application,True,memory leak,No,No,,,,,0,0,0
Android how to know Internet total data usage per day through wifi and mobile,"android,wifi,android-data-usage,mobile-data",True,https://stackoverflow.com/questions/26031295/android-how-to-know-internet-total-data-usage-per-day-through-wifi-and-mobile,True,data usage,No,,,,,,0,0,0
Memory Leak while Using IabHelper (In-App Billing v3),"java,android,memory-leaks,in-app-purchase",True,https://stackoverflow.com/questions/25982442/memory-leak-while-using-iabhelper-in-app-billing-v3,True,memory leak,No,No,,,,"
",0,0,0
How to use AudioTrack.getTimestamp() on Android to calculate latency?,"android,audio,audiotrack",True,https://stackoverflow.com/questions/49581054/how-to-use-audiotrack-gettimestamp-on-android-to-calculate-latency,True,latency,No,No,,,,,0,0,0
Memory leakage in event listener,"android,memory-leaks,static,inner-classes,event-listener",True,https://stackoverflow.com/questions/5002589/memory-leakage-in-event-listener,True,memory leak,No,No,,,,,0,0,0
Unresponsive data.getData for PICK_IMAGE_REQUEST,"java,android,android-studio,uri",True,https://stackoverflow.com/questions/72618203/unresponsive-data-getdata-for-pick-image-request,True,unresponsive,No,No,,new factor,,,0,0,0
Out of memory error java.lang.OutOfMemoryError,"java,android",True,https://stackoverflow.com/questions/72466948/out-of-memory-error-java-lang-outofmemoryerror,True,out of memory,No,No,,,,,0,0,0
Why using lifecycleScope in Fragment causes memory leak when used in ViewPager2?,"android,kotlin-coroutines,android-lifecycle",True,https://stackoverflow.com/questions/71922057/why-using-lifecyclescope-in-fragment-causes-memory-leak-when-used-in-viewpager2,True,memory leak,No,No,,,,,0,0,0
How ANR dialogs shows while MainThread is in Blocked state,android,True,https://stackoverflow.com/questions/49423123/how-anr-dialogs-shows-while-mainthread-is-in-blocked-state,True, ANR ,No,No,,,,,0,0,0
animations unresponsive inside button click,"android,animation",True,https://stackoverflow.com/questions/49222237/animations-unresponsive-inside-button-click,True,unresponsive,No,No,,,,,0,0,0
Can the strong reference returned from WeakReference's get method cause a memory leak in AsyncTask onProgressUpdate?,"android,android-asynctask,weak-references",True,https://stackoverflow.com/questions/49218699/can-the-strong-reference-returned-from-weakreferences-get-method-cause-a-memory,True,memory leak,No,No,,,,"Your code almost has no strong reference as far as the get and onProgressUpdate are concerned because you are using local variable which will go out of scope, the moment onProgressUpdate is finished.

So basically everytime your code is accessing the reference, retrieved from get() method so it is safe. Although it would have been an issue, if you would have kept a reference, declared outside onProgressUpdate method",0,0,0
RxJava BehaviorSubject and Consumer - is there a memory leak here?,"android,memory-leaks,rx-java,rx-java2,rx-android",True,https://stackoverflow.com/questions/49218350/rxjava-behaviorsubject-and-consumer-is-there-a-memory-leak-here,True,memory leak,Memory Consumption,Activity,,not sure,,"Yes, you should have it disposed when the Activity gets destroyed by adding the returned Disposable to a CompositeDisposable, which comes in handy when you have more than one flow to be tracked:

",1,0,1
how should i avoid out of memory error?,"android,animation,out-of-memory",True,https://stackoverflow.com/questions/24247694/how-should-i-avoid-out-of-memory-error,True,out of memory,No,No,,,,,0,0,0
Out of memory error in android bitmap,"java,android,bitmap,out-of-memory",True,https://stackoverflow.com/questions/24203985/out-of-memory-error-in-android-bitmap,True,out of memory,Memory Consumption,Image,bitmap,exmaple,"You are getting OutOfMemoryError because you haven't recycle those bitmaps you used
","
try to recycle those bitmaps after you used them",1,1,1
Using Picasso library with ImageSwitcher is causing Object out of Memory errors,"android,picasso,imageswitcher",True,https://stackoverflow.com/questions/24190598/using-picasso-library-with-imageswitcher-is-causing-object-out-of-memory-errors,True,out of memory,Memory Consumption,Image,bitmap,,,,1,1,1
"Volley out of memory error, weird allocation attempt","android,out-of-memory,android-volley,diskcache",True,https://stackoverflow.com/questions/24095909/volley-out-of-memory-error-weird-allocation-attempt,True,out of memory,Memory Consumption,No,,not sure,,,1,0,0
Android BitmapFactory.decodeResource out of memory if used more than once,"android,bitmap,out-of-memory,bitmapfactory",True,https://stackoverflow.com/questions/24016265/android-bitmapfactory-decoderesource-out-of-memory-if-used-more-than-once,True,out of memory,Memory Consumption,Image,bitmap,exmaple,,"every time you are done using a Bitmap, you should release them, since they take up a lot of memory.

",1,1,1
Understanding memory leaks and MAT on Android,"android,memory-leaks,android-bitmap",True,https://stackoverflow.com/questions/23993481/understanding-memory-leaks-and-mat-on-android,True,memory leak,No,No,,,,,0,0,0
Memory leak from bitmap,"android,memory,memory-leaks,bitmap",True,https://stackoverflow.com/questions/23857091/memory-leak-from-bitmap,True,memory leak,Memory Consumption,Activity,,,Memory is occupied when activity is created. ,"But if you manage to release them while activity is destroyed, almost memory leak problem will resolve.",1,1,1
AndroidImageSlider library memory leak,"android,memory-leaks",True,https://stackoverflow.com/questions/35489153/androidimageslider-library-memory-leak,True,memory leak,No,No,,,,,0,0,0
Android UI freeze when calling service,"android,android-asynctask,android-service,android-mediaplayer,shoutcast",True,https://stackoverflow.com/questions/35423760/android-ui-freeze-when-calling-service,True,UI freeze,Responsiveness,Service,"I developed online radio app. I called shoutcast radio server by service. When i call service all of the UI controls are freezed so that i used ProgressDialog but still freezed and didn't show progress dialog. I used AsyncTask but didn't work.

",,,,1,1,1
Android slideshow leads to Memory leaks,"java,android,memory-leaks,out-of-memory",True,https://stackoverflow.com/questions/35395629/android-slideshow-leads-to-memory-leaks,True,memory leak,Memory Consumption,Image,image slideshow,example,,"OK I found the reason why I add these memory leaks. This was because I had a reference to the views in my PagerAdapter.

",1,1,1
Memory leak with GoogleApiClient detected by Android Studio,"android,android-studio,memory-leaks,google-play-services,android-app-indexing",True,https://stackoverflow.com/questions/35308231/memory-leak-with-googleapiclient-detected-by-android-studio,True,memory leak,Memory Consumption,Third-Party Library,GoogleApiClient,,"GoogleApiClient.Builder(this) causes GoogleApiClient to hold a reference to the Activity, and even if the Activity is destroyed, GoogleApiClient still maintains a reference to the Activity, which causes the Activity to be unable to be garbage-collected, leading to a memory leak. This results in the Activity not being garbage collected, which leads to memory leakage.",Use Application Context: Initialise GoogleApiClient with getApplicationContext() instead of this so that GoogleApiClient holds a reference to the Application Context instead of the Activity Context. Application Context has the same lifecycle as the application process and does not cause memory leaks.,1,1,1
Device goes black and Launch timeout expires,android,True,https://stackoverflow.com/questions/35259233/device-goes-black-and-launch-timeout-expires,True,launch time,Responsiveness,Loop,,,Oh okay thanks for the tip. I just looked at my code after getting some fresh air and just noticed that my while loop in the initAnswers method is a infinite loop by accident.,,1,1,1
Can I access internet data used by user from Internet data Usage,"java,android",True,https://stackoverflow.com/questions/35239261/can-i-access-internet-data-used-by-user-from-internet-data-usage,True,data usage,No,,,,,,0,0,0
MonkeyRunner instrumentation sends a ShellCommandUnresponsiveException during test execution,"android,adb,monkeyrunner",True,https://stackoverflow.com/questions/35229578/monkeyrunner-instrumentation-sends-a-shellcommandunresponsiveexception-during-te,True,unresponsive,No,No,,,,,0,0,0
Android App Is Causing Battery Drain,"android,eclipse",True,https://stackoverflow.com/questions/22596805/android-app-is-causing-battery-drain,True,battery drain,No,No,,,,,0,0,0
memory leak with Android WebView,"android,memory,webview,memory-leaks",True,https://stackoverflow.com/questions/22261736/memory-leak-with-android-webview,True,memory leak,No,No,,,,,0,0,0
Android - Unknown memory leak in a very light app,android,True,https://stackoverflow.com/questions/22214152/android-unknown-memory-leak-in-a-very-light-app,True,memory leak,Memory Consumption,UI Rendering,,check,,"You are inflating an xml layout for each view instead of recycling existing views. Inflating a layout is an expensive operation (in memory) so you could start there.

",1,1,1
Android: Out of Memory error StringBuilder,"android,out-of-memory,stringbuilder,httpconnection",True,https://stackoverflow.com/questions/19537550/android-out-of-memory-error-stringbuilder,True,out of memory,No,No,,,,,0,0,0
Out of Memory using after 5 times of change orientation,"java,android,gridview,out-of-memory,universal-image-loader",True,https://stackoverflow.com/questions/19515303/out-of-memory-using-after-5-times-of-change-orientation,True,out of memory,Memory Consumption,Image,,exmaple,,,1,1,1
Volley slow and causing memory leak,"android,android-volley",True,https://stackoverflow.com/questions/19472809/volley-slow-and-causing-memory-leak,True,memory leak,Memory Consumption,Object Creation,Creating multiple instances,,Every call to the method you create a new RequestQueue which is not a recommended approach. ,"You should create one RequestQueue, probably a publicly visible singleton that is initialized once when the app is created.

Try moving the RequestQueue outside and see if it solves your problem.",1,1,1
Android: out of memory error on canvas invalidate(),"android,android-canvas,out-of-memory",True,https://stackoverflow.com/questions/19449325/android-out-of-memory-error-on-canvas-invalidate,True,out of memory,Memory Consumption,Image,,,,"android:largeHeap=""true""
",1,1,1
How to get the mobile data usage for my app (e.g. using TrafficStats)?,"android,usage-statistics,android-data-usage",True,https://stackoverflow.com/questions/19435331/how-to-get-the-mobile-data-usage-for-my-app-e-g-using-trafficstats,True,data usage,No,,,,,,0,0,0
Android project built with gradle crashes with an Out of Memory Error,"android,gradle,android-gradle-plugin",True,https://stackoverflow.com/questions/19409970/android-project-built-with-gradle-crashes-with-an-out-of-memory-error,True,out of memory,No,No,,,,,0,0,0
Out of memory android issue [closed],android,True,https://stackoverflow.com/questions/19402072/out-of-memory-android-issue,True,out of memory,No,No,,,,,0,0,0
Out of memory issues with AnimationDrawable [closed],"android,out-of-memory,animationdrawable",True,https://stackoverflow.com/questions/19332598/out-of-memory-issues-with-animationdrawable,True,out of memory,No,No,,,,,0,0,0
Android Fragment Webview Memory Leak,"android,memory-leaks,webview,android-fragments",True,https://stackoverflow.com/questions/19303904/android-fragment-webview-memory-leak,True,memory leak,Memory Consumption,Fragment,reference,,"Reasons for problems
Use of Application Context: While initialising a WebView with getActivity().getApplicationContext() can reduce memory leaks in some cases, the WebView may still hold an implicit reference to the Activity, causing the Activity not to be Rubbish collection.
Improper destruction order: In the onDestroy method, if the WebView is not properly disposed of before calling super.onDestroy(), the WebView may still hold a reference to the Activity, resulting in a memory leak.","Initialise the WebView directly using getActivity()
In the onDestroy method, clean up the WebView before calling super.onDestroy().",1,1,1
out of memory error while using viewpager+imageview even when using cache memory and asynctask,"android,android-fragments,android-asynctask,android-viewpager,android-imageview",True,https://stackoverflow.com/questions/19131205/out-of-memory-error-while-using-viewpagerimageview-even-when-using-cache-memory,True,out of memory,Memory Consumption,Image,,,,"android:largeHeap=""true""
",1,1,1
out of memory error in a viewpager using fragments and imageviews,"android,android-fragments,android-viewpager,android-imageview",True,https://stackoverflow.com/questions/19119458/out-of-memory-error-in-a-viewpager-using-fragments-and-imageviews,True,out of memory,Memory Consumption,Image,,,,"android:largeHeap=""true""",1,1,1
StringBuilder append cause out of memory,"java,android",True,https://stackoverflow.com/questions/19108549/stringbuilder-append-cause-out-of-memory,True,out of memory,Memory Consumption,Image,,check,,"if you are downloading an image, then you should not use Reader/Writer/StringBuilder to store it's content. Because the file is binary content will be scrambled because of the character encoding used by Reader/Writer classes.

Try using InputStream/OutputStream and store the content directly to sdcard without storing it in memory.",1,1,1
why bindservice still causes app ANR after moving it to a worker thread,"android,multithreading",True,https://stackoverflow.com/questions/20718736/why-bindservice-still-causes-app-anr-after-moving-it-to-a-worker-thread,True, ANR ,Responsiveness,Main Thread,,,"onCreate(): this is the initialisation method of the Activity or Service, where the view settings and the initialisation of the base data are usually performed. If too many time-consuming tasks (such as network requests, database operations, etc.) are performed in this method, it will cause the main thread to block.
onBind(): this is the Service's lifecycle method, called when a client (e.g. Activity) binds to the service. Performing time-consuming operations here avoids blocking the main thread in the Activity's onCreate() method.","From your description, it seems that calling bindService within UI thread is not the root cause of ANR. You should instead, call bindService without spawning user thread. One main reason is that, this causes memory leak.

When there is configuration change, as long the the thread still alive, it doesn't give chance to Activity for performing garbage collection. This is because your user thread is still holding reference to Activity.

The ANR root cause should come from Recognizer or mConnection. If you can post the implementation details of them, this can help us to help you.",1,1,1
AsyncTask memory leak,"android,memory-leaks,android-asynctask,network-programming",True,https://stackoverflow.com/questions/20709812/asynctask-memory-leak,True,memory leak,Memory Consumption,AsyncTask,,example,,,1,1,1
large bitmap crushes (out of memory),"android,bitmap,android-imageview,bitmapimage,android-bitmap",True,https://stackoverflow.com/questions/20697858/large-bitmap-crushes-out-of-memory,True,out of memory,Memory Consumption,Image,bitmap,,,"You are wasting memory becuase you've set inJustDecodeBounds after you decoded the whole image once. (I guess you get OOM because of that later on). Consider closing your inputstream as well.

",1,1,1
"Will this Android example be safe to use, memory leak-wise?","android,memory-leaks,android-fragments",True,https://stackoverflow.com/questions/20670382/will-this-android-example-be-safe-to-use-memory-leak-wise,True,memory leak,No,No,,,,,0,0,0
Memory leak in the empty Activity,"android,memory-leaks,leakcanary",True,https://stackoverflow.com/questions/38470388/memory-leak-in-the-empty-activity,True,memory leak,Memory Consumption,Activity,,,,"Your RefWatcher should be in the onDestroy() method, not onCreate() (see a similar reported issue here).

You don't even need to do this, since LeakCanary watches Activity references automatically. From the FAQ:",1,1,1
"PouchDb with SQLite, out of memory error on query","android,sqlite,cordova,pouchdb",True,https://stackoverflow.com/questions/38352167/pouchdb-with-sqlite-out-of-memory-error-on-query,True,out of memory,Memory Consumption,Database Operation,,,,"Instead of directly inserting large binary strings into your documents, you should use attachments. These will ensure that when you do operations that don't touch attachments (such as queries, allDocs(), etc.), PouchDB won't read the attachments into memory. This should fix your Out Of Memory issues.",1,1,1
Android Java GUI freeze /w ProgressBar,"java,android,user-interface,progress-bar,freeze",True,https://stackoverflow.com/questions/38335223/android-java-gui-freeze-w-progressbar,True,UI freeze,No,No,,,,,0,0,0
Advantage of LiveData Over Observer Object In Terms of Avoiding Memory Leak,"android,memory-leaks,observable,android-livedata",True,https://stackoverflow.com/questions/71638746/advantage-of-livedata-over-observer-object-in-terms-of-avoiding-memory-leak,True,memory leak,No,No,,,,,0,0,0
Memory leak in kotlin due to Closures?,"android,kotlin,memory-management,memory-leaks,textwatcher",True,https://stackoverflow.com/questions/77844001/memory-leak-in-kotlin-due-to-closures,True,memory leak,No,No,,,,,0,0,0
How to make dragged item follow pointer position without latency in Android JetPack Compose?,"android,android-jetpack-compose,drag",True,https://stackoverflow.com/questions/77799605/how-to-make-dragged-item-follow-pointer-position-without-latency-in-android-jetp,True,latency,No,No,,not sure,,"Deployed a release build to hardware and tested. No noticable latency is observed indeed. –
",0,1,0
Constant GPU rendering by Icons,"android,kotlin,android-jetpack-compose,android-navigation",True,https://stackoverflow.com/questions/77672279/constant-gpu-rendering-by-icons,True,GPU rendering,GPU Usage,Third-Party Library,Third-party library's bug causes continuous redrawing when using GPU to render UI components,,,,1,1,1
Huge APK size for test app when using separate Module for Instrumentation Test,"android,android-instrumentation",True,https://stackoverflow.com/questions/77657480/huge-apk-size-for-test-app-when-using-separate-module-for-instrumentation-test,True,apk size,Storage Consumption,Configuration,,,,,1,1,1
Button unresponsive after click on text field,"android,kotlin,user-interface",True,https://stackoverflow.com/questions/77586552/button-unresponsive-after-click-on-text-field,True,unresponsive,Responsiveness,View,"Fixed-height ScrollView covers the button when the keyboard pops up, making the button unclickable.
ScrollView",,"When the EditText is clicked, the keyboard pops up, and since the height of the ScrollView is fixed, this causes the ScrollView to override the button, which therefore becomes unclickable.

","SET the height of the ScrollView to 0dp: When using ConstraintLayout, set the height of the ScrollView to 0dp to allow it to fill according to the available space instead of using a fixed height.
ADVICE: If you use ConstraintLayout try not to hard code sizes and rely on constraints if possible.

",1,1,1
Could Navigation Arch Component create a false positive memory leak?,"android,kotlin,memory-leaks,android-architecture-navigation,leakcanary",True,https://stackoverflow.com/questions/59503689/could-navigation-arch-component-create-a-false-positive-memory-leak,True,memory leak,No,No,,,,,0,0,0
Checking for images on setOnClickListener() in view latency reduction,"android,kotlin,latency",True,https://stackoverflow.com/questions/59507165/checking-for-images-on-setonclicklistener-in-view-latency-reduction,True,latency,Responsiveness,Image,,check,,"I would recommend pre-calculation of the state of your drawables that are loaded into image_view.drawable and in the click listener just check the value of the state to load the necessary resources.

I am not sure where you are loading this image, however, if this is an activity, in the onCreate function of your activity do the pre-calculation as follows.",1,0,1
OnClickListeners: Preventing memory leaks,"android,memory-leaks,onclicklistener",True,https://stackoverflow.com/questions/59420329/onclicklisteners-preventing-memory-leaks,True,memory leak,No,No,,,,,0,0,0
Is App Bundle enough or the APK Splits necessary to reduce an APK size?,"apk,android,android-app-bundle,opencv",True,https://stackoverflow.com/questions/59334046/is-app-bundle-enough-or-the-apk-splits-necessary-to-reduce-an-apk-size,True,apk size,No,,,,,,0,0,0
leak canary detects memory leak in MediaBrowserServiceCompat sample app,"android,memory-leaks,android-service,leakcanary,mediabrowserservice",True,https://stackoverflow.com/questions/59264025/leak-canary-detects-memory-leak-in-mediabrowserservicecompat-sample-app,True,memory leak,Memory Consumption,Service,reference,,"Despite calling the release() method of MediaSessionCompat in the onDestroy method, the leak still exists. By analysing the stack, we found that MediaBrowserService$ServiceBinder holds a reference to MediaBrowserServiceCompat, which is causing the service not to be recovered correctly.",Ensure that MediaSessionCompat resources are correctly released when the service is destroyed.,1,1,1
Is the usage of livedata-ktx with ViewModels causing memory leaks if the LiveData is not backed by a property?,"android,kotlin,android-livedata,android-viewmodel",True,https://stackoverflow.com/questions/59265617/is-the-usage-of-livedata-ktx-with-viewmodels-causing-memory-leaks-if-the-livedat,True,memory leak,No,No,,,,LiveData object should be backed by a property and Observers should only be attached once,0,0,0
Apk size: Firebase MLKit includes large native library even if not in use,"android,firebase,apk,firebase-mlkit",True,https://stackoverflow.com/questions/59241853/apk-size-firebase-mlkit-includes-large-native-library-even-if-not-in-use,True,apk size,Storage Consumption,Configuration,,,,,1,1,1
UI lags and is choppy when using Glide to load images in a RecyclerView,"android,android-recyclerview,google-cloud-firestore,android-glide",True,https://stackoverflow.com/questions/59002056/ui-lags-and-is-choppy-when-using-glide-to-load-images-in-a-recyclerview,True,UI lag,Responsiveness,Image,,example,,,1,1,1
Changing activity from live data is causing memory leak,"android,memory-leaks,android-livedata,leakcanary",True,https://stackoverflow.com/questions/58951017/changing-activity-from-live-data-is-causing-memory-leak,True,memory leak,No,No,,,,,0,0,0
ProGuard reducing APK size only 1MB out of 35MB,"android,xamarin,xamarin.forms,proguard",True,https://stackoverflow.com/questions/58949193/proguard-reducing-apk-size-only-1mb-out-of-35mb,True,apk size,No,,,,,,0,0,0
Session 'app': Installation did not succeed. The application could not be installed: SHELL_UNRESPONSIVE,"android,android-studio",True,https://stackoverflow.com/questions/58899229/session-app-installation-did-not-succeed-the-application-could-not-be-instal,True,unresponsive,No,No,,,,,0,0,0
Bottom sheet fragment memory leak,"android,memory-leaks,leakcanary",True,https://stackoverflow.com/questions/58878106/bottom-sheet-fragment-memory-leak,True,memory leak,No,No,,,,,0,0,0
Android: Another thread is making the UI unresponsive?,"java,android,android-threading",True,https://stackoverflow.com/questions/58844492/android-another-thread-is-making-the-ui-unresponsive,True,unresponsive,Responsiveness,AsyncTask,,,"Calling the AsyncTask.get() method blocks the calling thread until the AsyncTask completes. This causes the UI thread to block, resulting in an unresponsive application.","The result is passed to the caller after the AsyncTask completes its task via an interface callback.

",1,1,1
Would anonymous Handler or Runnable create a memory leak?,"java,android,memory-leaks",True,https://stackoverflow.com/questions/17778077/would-anonymous-handler-or-runnable-create-a-memory-leak,True,memory leak,Memory Consumption,Activity,,,,"Yes. This code may cause a memory leak.

For as long as this anonymous class based on Runnable is in the queue (100 milliseconds in this example), it keeps a reference to outer Activity class.

Such a memory leak is not a problem by itself of course, but depending on what code inside run is executed, it may create bigger problems, like crashing the application when you e.g. try to show dialog after Activity is killed. In such situations you will see nice informational exceptions:",1,1,1
Backstack and memory leakage,"android,fragment",True,https://stackoverflow.com/questions/17778069/backstack-and-memory-leakage,True,memory leak,No,No,,,,,0,0,0
android - out of memory in large screen - change image fast,"android,animation,bitmap,imageview,out-of-memory",True,https://stackoverflow.com/questions/17563452/android-out-of-memory-in-large-screen-change-image-fast,True,out of memory,Memory Consumption,Image,,example,,,1,1,1
How can I fix frequent Out Of Memory Errors on Android emulators?,"android,android-emulator,out-of-memory",True,https://stackoverflow.com/questions/17537038/how-can-i-fix-frequent-out-of-memory-errors-on-android-emulators,True,out of memory,No,No,,,,,0,0,0
TweetView cause ANR when first appear on screen,"android,twitter,view,tweets",True,https://stackoverflow.com/questions/44894056/tweetview-cause-anr-when-first-appear-on-screen,True, ANR ,Responsiveness,AsyncTask,,,,"The problem was been in sdk-init:

Twitter.initialize(config);
That i call in NOT ui-thread (i call it in AsyncTask), after i change to Application.onCreate() method, problem has been solved

",1,1,1
android - prebuild project apk size increased in target folder,android,True,https://stackoverflow.com/questions/71240980/android-prebuild-project-apk-size-increased-in-target-folder,True,apk size,Storage Consumption,Configuration,,,,,1,1,1
android loading image from sd card into imageview creats out of memory error in Samsung SIII,"android,imageview,android-camera,image-capture",True,https://stackoverflow.com/questions/12971719/android-loading-image-from-sd-card-into-imageview-creats-out-of-memory-error-in,True,out of memory,Memory Consumption,Image,,,,,1,1,1
How to reduce the response time of external page loading in phonegap application?,"javascript,android,jquery,cordova,xmlhttprequest",True,https://stackoverflow.com/questions/12967513/how-to-reduce-the-response-time-of-external-page-loading-in-phonegap-application,True,response time,No,No,,,,,0,0,0
Android: UI freezes when intent calls a service,android,True,https://stackoverflow.com/questions/12975696/android-ui-freezes-when-intent-calls-a-service,True,UI freeze,Responsiveness,Service,,check,"You are firstly creating an AsyncTask and later using it's get() method, which blocks main thread.",". Do it properly - background work in doInBackground(Params...), then update UI in onPostExecute(Result), which is called in main thread again - instead of using get().",1,0,1
Memory leak with <a load image in a listview> asynctask,android,True,https://stackoverflow.com/questions/12671384/memory-leak-with-a-load-image-in-a-listview-asynctask,True,memory leak,Memory Consumption,Image,bitmap,,I think the problem is with BitmapFactory in the doInBackground method. This decoding consumes a lot of memory and also has some known leaks. ,"Instead of decode the entire image, I always scale it in order to reduce the memory consumption.",1,1,1
android using flood fill algorithm getting out of memory exception,"android,flood-fill",True,https://stackoverflow.com/questions/12669740/android-using-flood-fill-algorithm-getting-out-of-memory-exception,True,out of memory,Memory Consumption,AsyncTask,,,Running every operation on Main Ui thread may cause's out of memory exception. ,"My suggestion , use threads. Do Floodfill in background. Check this link. May help You.",1,1,1
ApplicationInfo LoadLabel increase memory consumption of my service (android),"android,memory-management",True,https://stackoverflow.com/questions/12600974/applicationinfo-loadlabel-increase-memory-consumption-of-my-service-android,True,memory consumption,Memory Consumption,Service,,check,,,1,0,1
Monodroid Taking Screenshots out of memory,"android,bitmap,xamarin.android,screenshot",True,https://stackoverflow.com/questions/12572445/monodroid-taking-screenshots-out-of-memory,True,out of memory,Memory Consumption,Image,bitmap,new factor,,,1,1,1
Out of Memory when allocating cursors,"android,sqlite,memory,memory-leaks,android-cursor",True,https://stackoverflow.com/questions/12577400/out-of-memory-when-allocating-cursors,True,out of memory,Memory Consumption,Database Operation,,check,,"The call to cursor.close() should be in a finally block in case an exception is thrown while you're iterating over it.

",1,0,1
Android memory leak with images from assets,"java,android,memory-leaks",True,https://stackoverflow.com/questions/12545131/android-memory-leak-with-images-from-assets,True,memory leak,Memory Consumption,Image,,check,,,1,0,1
Out of memory exception when running multiple test with Android-Espresso,"android,testing,android-espresso,gui-testing,ui-testing",True,https://stackoverflow.com/questions/29227482/out-of-memory-exception-when-running-multiple-test-with-android-espresso,True,out of memory,No,No,,,,,0,0,0
SharedPreferences.apply() and ANR application,"android,android-activity,sharedpreferences,apply",True,https://stackoverflow.com/questions/29166812/sharedpreferences-apply-and-anr-application,True, ANR ,Responsiveness,Background Thread,,check,"Every 10 milliseconds, indefinitely, you are forking a background thread via the apply() call, all of which are going to queue up as they attempt to do I/O on the same data. That is not going to give you good results.

","Beyond that, I would be very careful about sharing Editor instances across threads the way you are.

",0,1,1
android media player unresponsive,"java,android,android-mediaplayer",True,https://stackoverflow.com/questions/29150708/android-media-player-unresponsive,True,unresponsive,Responsiveness,Resource,Media Player,check,,,0,1,1
How can I avoid memory leaks when I implement canvas.drawBitmap method?,"java,android,canvas,memory-leaks,bitmap",True,https://stackoverflow.com/questions/29137674/how-can-i-avoid-memory-leaks-when-i-implement-canvas-drawbitmap-method,True,memory leak,No,No,,,,,0,0,0
Live data usage monitoring in Cordova,"android,cordova,cordova-plugins",True,https://stackoverflow.com/questions/28987134/live-data-usage-monitoring-in-cordova,True,data usage,No,,,,,,0,0,0
"Application not responding, why doesn't ANR popup display?","android,performance-testing,android-anr-dialog",True,https://stackoverflow.com/questions/58641850/application-not-responding-why-doesnt-anr-popup-display,True," ANR 
application not responding",No,No,,,,,0,0,0
is there any way to use AsyncTask without memory leak in android using java,"android,performance,android-studio",True,https://stackoverflow.com/questions/58539709/is-there-any-way-to-use-asynctask-without-memory-leak-in-android-using-java,True,memory leak,No,No,,,,,0,0,0
"Expo network response Timed Out, Can't run Expo app on android emulator","android,react-native,android-emulator,expo,android-virtual-device",True,https://stackoverflow.com/questions/58382437/expo-network-response-timed-out-cant-run-expo-app-on-android-emulator,True,response time,No,No,,,,,0,0,0
Send user to data usage settings window,"android,settings,android-5.0-lollipop",True,https://stackoverflow.com/questions/27859457/send-user-to-data-usage-settings-window,True,data usage,No,,,,,,0,0,0
Handler Memory Leak?,"java,android,memory-leaks",True,https://stackoverflow.com/questions/27848204/handler-memory-leak,True,memory leak,No,No,,,,,0,0,0
Volley ui freeze on parsing data,"java,android",True,https://stackoverflow.com/questions/27707996/volley-ui-freeze-on-parsing-data,True,UI freeze,Responsiveness,Service,,,"Volley onResponce work inside the UI thread

",Volley onResponce work inside the UI thread,1,1,1
Android - memory/CPU usage [closed],android,True,https://stackoverflow.com/questions/9977822/android-memory-cpu-usage,True,cpu usage,No,,,,,,0,0,0
"Rooting ICS emulator; pushing su fails with ""Out of memory""","android,android-emulator,su",True,https://stackoverflow.com/questions/9921874/rooting-ics-emulator-pushing-su-fails-with-out-of-memory,True,out of memory,No,No,,,,,0,0,0
Android Memory Leak new Thread(),"java,android,memory-leaks",True,https://stackoverflow.com/questions/9921561/android-memory-leak-new-thread,True,memory leak,No,No,,,,,0,0,0
Out of Memory Error in android due to Heap Size Increasing,"android,out-of-memory",True,https://stackoverflow.com/questions/9818407/out-of-memory-error-in-android-due-to-heap-size-increasing,True,out of memory,No,No,,,,,0,0,0
Getting out of memory error while using threads for Image loading in Android.,android,True,https://stackoverflow.com/questions/9767794/getting-out-of-memory-error-while-using-threads-for-image-loading-in-android,True,out of memory,Memory Consumption,Image,,check,"String ba1=Base64.encodeToString(ba, f);
is very heavy. I recommend using a",,1,0,1
how to get memory usage and cpu usage by application?,"android,memory,process,cpu-usage",True,https://stackoverflow.com/questions/9756353/how-to-get-memory-usage-and-cpu-usage-by-application,True,cpu usage,No,,,,,,0,0,0
